epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,316.982,0.65897,0.81318,0.91152,0.76222,1,0.995,0.9038,0.49587,1.53269,0.96356,0.000709599,0.000709599,0.000709599
44,324.514,0.74342,0.9641,0.98649,0.77762,1,0.995,0.91204,0.49212,1.61791,0.97508,0.000713987,0.000713987,0.000713987
45,331.932,0.64529,0.83321,0.9249,0.77762,1,0.995,0.91204,0.49212,1.61791,0.97508,0.00071781,0.00071781,0.00071781
46,340.615,0.66682,0.95633,0.9363,0.6763,1,0.995,0.92867,0.49782,1.47153,0.97188,0.000721066,0.000721066,0.000721066
47,346.247,0.59277,0.80038,0.93488,0.6763,1,0.995,0.92867,0.49782,1.47153,0.97188,0.000723757,0.000723757,0.000723757
48,351.955,0.61255,0.82124,0.895,0.81098,1,0.995,0.9038,0.49874,1.18399,0.98167,0.000725882,0.000725882,0.000725882
49,357.538,0.62559,0.81516,0.94037,0.81098,1,0.995,0.9038,0.49874,1.18399,0.98167,0.000727441,0.000727441,0.000727441
50,362.798,0.60179,0.77958,0.94731,0.88409,1,0.995,0.9038,0.55122,0.95263,0.99512,0.000728434,0.000728434,0.000728434
51,368.165,0.57505,0.76162,0.88505,0.88409,1,0.995,0.9038,0.55122,0.95263,0.99512,0.000721645,0.000721645,0.000721645
52,374.148,0.59787,0.82594,0.9175,0.92343,1,0.995,0.88719,0.56557,0.93841,0.98921,0.000707498,0.000707498,0.000707498
53,379.859,0.65757,0.72315,0.92779,0.92343,1,0.995,0.88719,0.56557,0.93841,0.98921,0.000693351,0.000693351,0.000693351
54,385.301,0.64498,0.93439,0.91553,0.9164,1,0.995,0.8955,0.57327,1.04263,0.98515,0.000679204,0.000679204,0.000679204
55,390.908,0.65075,0.84759,0.92798,0.9164,1,0.995,0.8955,0.57327,1.04263,0.98515,0.000665057,0.000665057,0.000665057
56,396.443,0.64173,0.91452,0.93971,0.9083,1,0.995,0.86233,0.54056,1.10167,0.98566,0.000650909,0.000650909,0.000650909
57,401.782,0.59244,0.78062,0.91646,0.9083,1,0.995,0.86233,0.54056,1.10167,0.98566,0.000636762,0.000636762,0.000636762
58,407.049,0.59538,0.75128,0.95939,0.91429,1,0.995,0.84574,0.53228,1.01162,0.99278,0.000622615,0.000622615,0.000622615
