epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
33,70.2592,0.84354,1.34167,1.11867,0.34409,0.79643,0.43273,0.34439,0.82359,1.6891,1.05605,0.000976293,0.000976293,0.000976293
34,145.029,0.89657,1.36176,1.15197,0.37888,0.77421,0.44449,0.3642,0.77213,1.74831,1.03351,0.000962146,0.000962146,0.000962146
35,223.014,0.87016,1.24646,1.10875,0.34719,0.83756,0.4374,0.35785,0.79223,1.65968,1.01739,0.000947999,0.000947999,0.000947999
36,300.498,0.83788,1.22383,1.11124,0.34606,0.8631,0.44714,0.36582,0.72519,1.79181,0.98263,0.000933851,0.000933851,0.000933851
37,388.479,0.81125,1.22467,1.10716,0.33688,0.81865,0.40485,0.33404,0.72825,1.89595,0.99218,0.000919704,0.000919704,0.000919704
38,484.954,0.82871,1.26378,1.13342,0.35292,0.81865,0.46349,0.38193,0.76743,1.65871,0.99821,0.000905557,0.000905557,0.000905557
39,597.77,0.82731,1.24,1.10078,0.40214,0.70754,0.47099,0.37427,0.8033,1.80116,1.02763,0.00089141,0.00089141,0.00089141
40,682.617,0.8306,1.2739,1.11754,0.33339,0.75382,0.44956,0.3679,0.8251,1.82817,1.03916,0.000877263,0.000877263,0.000877263
41,757.116,0.80427,1.20465,1.09848,0.33653,0.8631,0.45293,0.38137,0.72533,1.68403,0.99357,0.000863116,0.000863116,0.000863116
42,829.934,0.81168,1.23127,1.10174,0.34231,0.81865,0.42795,0.34868,0.75449,1.8277,1.02978,0.000848969,0.000848969,0.000848969
43,904.948,0.78729,1.17888,1.0933,0.33924,0.85232,0.43257,0.36033,0.71418,1.7479,0.99682,0.000834822,0.000834822,0.000834822
44,991.732,0.77659,1.2081,1.07782,0.32817,0.8631,0.41931,0.34272,0.74879,1.61161,1.02056,0.000820675,0.000820675,0.000820675
45,1074.1,0.78379,1.15401,1.07222,0.337,0.78977,0.42977,0.35724,0.7409,1.76636,0.99233,0.000806528,0.000806528,0.000806528
46,1148.88,0.79179,1.15236,1.07277,0.3436,0.8631,0.42937,0.35523,0.7329,1.58325,1.17137,0.00079238,0.00079238,0.00079238
47,1223.64,0.7626,1.14344,1.06137,0.3317,0.84087,0.40511,0.33226,0.75012,1.6222,1.01243,0.000778233,0.000778233,0.000778233
48,1301.64,0.7626,1.11197,1.04438,0.33761,0.77421,0.45266,0.35872,0.84367,1.81014,1.09041,0.000764086,0.000764086,0.000764086
49,1382.54,0.75642,1.15913,1.07081,0.34228,0.8559,0.43928,0.35857,0.77126,1.83858,1.04272,0.000749939,0.000749939,0.000749939
50,1472.94,0.77989,1.16351,1.08264,0.35055,0.89811,0.50752,0.42177,0.68616,1.45464,0.9617,0.000735792,0.000735792,0.000735792
51,1555.82,0.72696,1.11392,1.05368,0.33544,0.8631,0.46406,0.37821,0.78399,1.63828,1.02468,0.000721645,0.000721645,0.000721645
52,1636.38,0.7318,1.09513,1.07716,0.33908,0.84297,0.42856,0.35003,0.76008,1.73332,1.01842,0.000707498,0.000707498,0.000707498
53,1739.76,0.7756,1.11396,1.08755,0.35366,0.79643,0.50196,0.38941,0.88209,1.6266,1.12395,0.000693351,0.000693351,0.000693351
54,1855.16,0.73339,1.0962,1.07063,0.34556,0.84087,0.51972,0.44351,0.75938,1.55922,1.02037,0.000679204,0.000679204,0.000679204
55,1945.49,0.7306,1.08633,1.04629,0.36789,0.77421,0.54618,0.45623,0.71029,1.51818,0.98192,0.000665057,0.000665057,0.000665057
56,2033.77,0.77492,1.10105,1.06517,0.36853,0.81587,0.50591,0.42831,0.67724,1.5276,0.96319,0.000650909,0.000650909,0.000650909
57,2128.77,0.76679,1.07518,1.06843,0.43877,0.64048,0.5285,0.43049,0.76043,1.48185,1.02982,0.000636762,0.000636762,0.000636762
58,2199.89,0.74383,1.06359,1.04799,0.3499,0.84405,0.51972,0.43329,0.70779,1.43183,0.99865,0.000622615,0.000622615,0.000622615
59,2268.48,0.69602,1.0619,1.01994,0.36506,0.84021,0.47326,0.38309,0.75609,1.46733,1.02914,0.000608468,0.000608468,0.000608468
60,2339.66,0.73591,1.10261,1.0551,0.38235,0.84087,0.49212,0.41435,0.72245,1.51576,1.00905,0.000594321,0.000594321,0.000594321
61,2412.33,0.73969,1.05616,1.08156,0.35274,0.84087,0.50162,0.4216,0.69149,1.62432,0.96645,0.000580174,0.000580174,0.000580174
62,2491.49,0.71564,1.04365,1.03452,0.35007,0.79668,0.53792,0.45415,0.7079,1.50617,0.9987,0.000566027,0.000566027,0.000566027
63,2568.78,0.70458,1.04937,1.03858,0.3674,0.81865,0.56009,0.45338,0.75787,1.54698,1.02969,0.00055188,0.00055188,0.00055188
64,2645.51,0.67237,1.00507,1.02245,0.37554,0.84407,0.50422,0.4171,0.7355,1.3629,1.00068,0.000537733,0.000537733,0.000537733
65,2722.93,0.72248,1.03957,1.06654,0.37438,0.79667,0.53255,0.4464,0.72402,1.48732,1.00804,0.000523586,0.000523586,0.000523586
66,2800.17,0.71809,1.07031,1.0562,0.61027,0.5503,0.58331,0.48714,0.72454,1.43035,1.00074,0.000509438,0.000509438,0.000509438
67,2875.12,0.66484,0.95045,1.02111,0.37219,0.79998,0.59271,0.49312,0.74383,1.38881,1.01295,0.000495291,0.000495291,0.000495291
68,2954.38,0.69166,1.01835,1.0359,0.53375,0.6295,0.57852,0.48105,0.72181,1.42255,1.01256,0.000481144,0.000481144,0.000481144
69,3033.26,0.65992,1.02782,0.99796,0.39761,0.82659,0.56797,0.47181,0.74086,1.47181,1.00355,0.000466997,0.000466997,0.000466997
70,3113.15,0.69626,1.00897,1.01772,0.38815,0.84087,0.51325,0.41861,0.75905,1.4202,1.02687,0.00045285,0.00045285,0.00045285
71,3192.65,0.67334,0.98494,1.02345,0.38631,0.8631,0.53021,0.44778,0.68733,1.43582,0.9681,0.000438703,0.000438703,0.000438703
72,3262.46,0.68349,0.95801,1.03406,0.49398,0.71723,0.5926,0.50689,0.71543,1.46086,0.96455,0.000424556,0.000424556,0.000424556
73,3334.52,0.67577,0.95035,1.02063,0.46387,0.76911,0.59227,0.49867,0.69516,1.39051,1.00326,0.000410409,0.000410409,0.000410409
74,3405.88,0.68809,1.0024,1.02698,0.38262,0.84087,0.59645,0.50056,0.69073,1.73817,0.98673,0.000396262,0.000396262,0.000396262
75,3478.98,0.67357,0.99698,1.00683,0.69108,0.48423,0.61148,0.50588,0.7174,1.40929,1.01267,0.000382115,0.000382115,0.000382115
76,3557.98,0.64556,0.98892,1.00622,0.36447,0.81479,0.59766,0.49006,0.72561,1.40713,1.02034,0.000367967,0.000367967,0.000367967
77,3637.82,0.64441,0.94455,1.00283,0.43869,0.73644,0.56551,0.46512,0.73326,1.40399,1.01321,0.00035382,0.00035382,0.00035382
78,3717.87,0.647,0.93487,1.01431,0.37269,0.76118,0.56809,0.47063,0.69289,1.44357,0.99719,0.000339673,0.000339673,0.000339673
