epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,243.274,0.77542,1.13299,1.0507,0.44404,0.65908,0.45478,0.37056,0.73397,1.49143,0.94144,0.000848969,0.000848969,0.000848969
43,249.812,0.7733,1.13493,1.04058,0.33934,0.84087,0.46606,0.36987,0.77695,1.49733,0.99048,0.000834822,0.000834822,0.000834822
44,255.158,0.74605,1.1138,1.02115,0.35037,0.8631,0.46391,0.38877,0.69154,1.54439,0.92438,0.000820675,0.000820675,0.000820675
45,261.615,0.81212,1.1311,1.06084,0.50275,0.5693,0.55671,0.44458,0.75773,1.4598,0.99138,0.000806528,0.000806528,0.000806528
46,266.696,0.75159,1.14916,1.01891,0.37594,0.8384,0.54149,0.44173,0.78244,1.61096,0.97863,0.00079238,0.00079238,0.00079238
47,272.962,0.75045,1.07645,1.02263,0.43761,0.69747,0.4389,0.36475,0.70867,1.72401,0.94732,0.000778233,0.000778233,0.000778233
48,278.127,0.6841,1.08741,1.00554,0.37165,0.8631,0.43084,0.35877,0.69961,1.54983,0.95893,0.000764086,0.000764086,0.000764086
49,283.579,0.75165,1.14648,1.0492,0.39698,0.84087,0.53941,0.44123,0.77391,1.44375,1.0071,0.000749939,0.000749939,0.000749939
50,289.733,0.71902,1.03802,1.00543,0.41442,0.80763,0.56374,0.45294,0.77926,1.37715,1.0138,0.000735792,0.000735792,0.000735792
51,295.004,0.7565,1.07611,1.03809,0.42966,0.65992,0.49851,0.41837,0.7432,1.54025,0.96162,0.000721645,0.000721645,0.000721645
52,301.216,0.7694,1.05955,1.04364,0.44726,0.66587,0.48639,0.40398,0.76859,1.86608,0.98393,0.000707498,0.000707498,0.000707498
53,306.435,0.74744,1.06436,1.0262,0.48296,0.71259,0.53738,0.43561,0.7053,1.56044,0.94765,0.000693351,0.000693351,0.000693351
54,312.741,0.70065,1.01401,1.01676,0.3704,0.67897,0.49004,0.40164,0.74406,1.64876,0.97612,0.000679204,0.000679204,0.000679204
55,317.925,0.71798,1.0624,1.01717,0.38092,0.84087,0.50618,0.41212,0.70435,1.51719,0.95135,0.000665057,0.000665057,0.000665057
56,323.694,0.6943,0.9725,0.99944,0.38843,0.81865,0.55017,0.45711,0.69895,1.5913,0.94514,0.000650909,0.000650909,0.000650909
57,329.385,0.73575,1.08671,1.02702,0.39913,0.8631,0.54484,0.46433,0.69579,1.41272,0.95998,0.000636762,0.000636762,0.000636762
58,334.553,0.6649,1.00602,0.97813,0.46219,0.75159,0.57591,0.48643,0.66815,1.30341,0.91908,0.000622615,0.000622615,0.000622615
59,340.979,0.69422,0.99359,1.00001,0.42469,0.79643,0.56366,0.46741,0.71277,1.43455,0.95496,0.000608468,0.000608468,0.000608468
60,346.188,0.7263,1.037,1.01958,0.42825,0.71752,0.58005,0.47424,0.75098,1.6061,0.98448,0.000594321,0.000594321,0.000594321
61,352.539,0.74167,0.99809,1.03542,0.54834,0.5368,0.55729,0.45453,0.72583,1.51315,0.97913,0.000580174,0.000580174,0.000580174
62,357.662,0.68659,0.95489,0.98697,0.5334,0.59938,0.57747,0.4882,0.68649,1.41153,0.95265,0.000566027,0.000566027,0.000566027
63,364.112,0.67767,0.97414,1.00102,0.45137,0.72606,0.59893,0.49685,0.70703,1.53325,0.94896,0.00055188,0.00055188,0.00055188
64,369.665,0.65766,0.982,0.99436,0.41998,0.81865,0.5427,0.45044,0.71818,1.48017,0.94852,0.000537733,0.000537733,0.000537733
65,375.365,0.68412,0.94557,0.99376,0.47258,0.59286,0.51782,0.42939,0.74751,1.56361,0.96791,0.000523586,0.000523586,0.000523586
66,381.125,0.7163,0.97037,1.00792,0.43495,0.63819,0.55895,0.46214,0.7167,1.43238,0.96809,0.000509438,0.000509438,0.000509438
67,386.353,0.65935,0.92251,0.97634,0.54138,0.6513,0.62163,0.51791,0.71231,1.41174,0.96448,0.000495291,0.000495291,0.000495291
68,392.626,0.71611,0.94108,0.99154,0.53117,0.6881,0.61385,0.51312,0.71728,1.62734,0.96019,0.000481144,0.000481144,0.000481144
69,397.842,0.6684,0.94239,0.98488,0.57104,0.6454,0.60906,0.50518,0.70332,1.40059,0.94955,0.000466997,0.000466997,0.000466997
70,404.144,0.64414,0.93771,0.9907,0.42147,0.73467,0.57127,0.47585,0.74017,1.57435,0.97573,0.00045285,0.00045285,0.00045285
71,409.421,0.66336,0.8897,0.99571,0.53587,0.71613,0.63641,0.50875,0.73567,1.46422,0.96391,0.000438703,0.000438703,0.000438703
72,415.743,0.65429,0.92838,1.00791,0.53358,0.77243,0.65057,0.53062,0.75218,1.40982,0.99139,0.000424556,0.000424556,0.000424556
73,421.193,0.66711,0.88401,1.0065,0.51803,0.72305,0.59719,0.48621,0.70723,1.643,0.952,0.000410409,0.000410409,0.000410409
74,426.564,0.63946,0.8867,0.96864,0.3966,0.65176,0.56583,0.47196,0.69762,1.70352,0.93878,0.000396262,0.000396262,0.000396262
75,432.721,0.65218,0.8747,0.97428,0.53286,0.75553,0.61523,0.51111,0.73582,1.51374,0.98377,0.000382115,0.000382115,0.000382115
76,438.033,0.61558,0.83785,0.95875,0.44789,0.77061,0.60149,0.49951,0.71825,1.56582,0.97108,0.000367967,0.000367967,0.000367967
77,444.386,0.63823,0.8555,0.99769,0.50726,0.77092,0.65695,0.54516,0.7183,1.74959,0.95401,0.00035382,0.00035382,0.00035382
78,449.673,0.61905,0.82759,0.95789,0.53108,0.74602,0.65496,0.55662,0.66018,1.45916,0.93252,0.000339673,0.000339673,0.000339673
79,455.953,0.62305,0.84851,0.97546,0.54608,0.75948,0.65667,0.56006,0.65236,1.32911,0.93765,0.000325526,0.000325526,0.000325526
80,461.245,0.63025,0.84608,0.96961,0.46616,0.79643,0.65929,0.54379,0.70539,1.42261,0.96582,0.000311379,0.000311379,0.000311379
81,467.171,0.60211,0.82131,0.96168,0.47312,0.8129,0.61904,0.51471,0.71982,1.43444,0.9776,0.000297232,0.000297232,0.000297232
82,472.844,0.61001,0.77295,0.96976,0.47309,0.71701,0.63961,0.52835,0.6912,1.4806,0.94577,0.000283085,0.000283085,0.000283085
83,478.16,0.62697,0.80151,0.97414,0.49772,0.81865,0.63405,0.52966,0.68316,1.51745,0.94485,0.000268938,0.000268938,0.000268938
84,484.518,0.58575,0.77505,0.94987,0.5553,0.74549,0.62518,0.52169,0.72883,1.60542,0.97712,0.000254791,0.000254791,0.000254791
85,489.868,0.59108,0.80747,0.95406,0.47785,0.72659,0.61085,0.51027,0.70758,1.51045,0.94325,0.000240644,0.000240644,0.000240644
86,496.118,0.59556,0.75935,0.95797,0.5246,0.81127,0.64608,0.54193,0.68066,1.46247,0.93478,0.000226497,0.000226497,0.000226497
87,501.324,0.61343,0.83205,0.97318,0.47262,0.76366,0.65077,0.54187,0.70959,1.50226,0.95385,0.000212349,0.000212349,0.000212349
88,507.803,0.55134,0.71575,0.94804,0.44463,0.72659,0.60338,0.50111,0.72121,1.56633,0.97344,0.000198202,0.000198202,0.000198202
89,513.025,0.56977,0.75194,0.95304,0.60137,0.72434,0.61544,0.51504,0.7104,1.51767,0.97658,0.000184055,0.000184055,0.000184055
90,518.76,0.58544,0.74479,0.95026,0.60247,0.72757,0.61896,0.50383,0.74451,1.58077,1.00036,0.000169908,0.000169908,0.000169908
91,526.085,0.53967,0.70247,0.94398,0.56823,0.76727,0.62197,0.50945,0.71996,1.37597,0.96645,0.000155761,0.000155761,0.000155761
92,532.093,0.51538,0.62255,0.93758,0.53604,0.81055,0.63747,0.53054,0.67694,1.33441,0.94312,0.000141614,0.000141614,0.000141614
93,537.67,0.51323,0.62555,0.92778,0.47933,0.75626,0.60431,0.49395,0.7269,1.48991,0.98912,0.000127467,0.000127467,0.000127467
94,542.718,0.51004,0.65078,0.9304,0.52788,0.75139,0.622,0.50654,0.75033,1.4533,1.00211,0.00011332,0.00011332,0.00011332
95,548.959,0.50244,0.59425,0.93296,0.51098,0.75722,0.62156,0.51262,0.7077,1.45117,0.97091,9.91726e-05,9.91726e-05,9.91726e-05
96,553.977,0.51495,0.5955,0.93208,0.47488,0.79643,0.63303,0.52244,0.69568,1.39626,0.96285,8.50255e-05,8.50255e-05,8.50255e-05
97,560.14,0.5096,0.58954,0.92688,0.4963,0.79643,0.61404,0.51032,0.70728,1.4646,0.96459,7.08784e-05,7.08784e-05,7.08784e-05
98,565.238,0.47976,0.56772,0.92266,0.51559,0.76097,0.60467,0.50325,0.70759,1.48063,0.96628,5.67313e-05,5.67313e-05,5.67313e-05
99,570.566,0.47049,0.55413,0.91769,0.51924,0.76028,0.61056,0.51089,0.70471,1.48873,0.96222,4.25842e-05,4.25842e-05,4.25842e-05
100,576.766,0.48023,0.57649,0.91599,0.53176,0.77127,0.60675,0.51246,0.70154,1.47502,0.95963,2.84371e-05,2.84371e-05,2.84371e-05
